event_name,start_date,end_date,start_time,end_time,description,location,access_groups,rsvp,comments,attendance_tracking,duty_roster,ticketing,reference_id
One Day Grade 4 WSCC One Day 4's vs SPSTCC 4th XI,2025-11-15,2025-11-15,12:30,14:30,One Day Round 5: WSCC One Day 4's vs SPSTCC 4th XI,David Cruikshank Reserve,WSCC One Day 4's,true,true,false,false,false,
One Day Grade 5 Black Bentley 5th XI vs WSCC One Day 5's,2025-11-15,2025-11-15,12:30,14:30,One Day Round 5: Bentley 5th XI vs WSCC One Day 5's,Centenary Park South-East,Bentley 5th XI,true,true,false,false,false,
Colts T20 X Golf WSCC Colts vs SMCC T20 Colts (U21),2025-11-16,2025-11-16,10:30,12:30,T20 Round 4: X Golf WSCC Colts vs SMCC T20 Colts (U21),College Park West - Turf,X Golf WSCC Colts,true,true,false,false,false,
RJR Sports T20 Division 1 Swan Athletic Div 1 T20 vs Hola Health WSCC T20 Div 1,2025-11-16,2025-11-16,12:00,14:00,T20 Round 5: Swan Athletic Div 1 T20 vs Hola Health WSCC T20 Div 1,Lilac Hill 3,Swan Athletic Div 1 T20,true,true,false,false,false,
Twenty20 Div 2 SMCC T20 Div 2 vs Varsity WSCC T20 Div 2,2025-11-16,2025-11-16,14:00,16:00,T20 Round 5: SMCC T20 Div 2 vs Varsity WSCC T20 Div 2,Newman College - John Lucas Oval (Turf),SMCC T20 Div 2,true,true,false,false,false,
Twenty20 Div 2  vs,2025-11-16,2025-11-16,,, Round 4:  vs ,,Public,true,true,false,false,false,
Twenty20 Div 3 Prestige Liquor WSCC T20 Div 3 vs MUMCC T20 Div 3,2025-11-16,2025-11-16,14:00,16:00,T20 Round 4: Prestige Liquor WSCC T20 Div 3 vs MUMCC T20 Div 3,College Park West - Turf,Prestige Liquor WSCC T20 Div 3,true,true,false,false,false,
2nd Grade  vs,2025-11-29,2025-11-29,,, Round 6:  vs ,,Public,true,true,false,false,false,
4th Grade Kreative Property WSCC 2nd XI vs LSR SMCC 4th Grade,2025-11-29,2025-11-29,13:00,15:00,Two Day Round 6: Kreative Property WSCC 2nd XI vs LSR SMCC 4th Grade,College Park West - Turf,Kreative Property WSCC 2nd XI,true,true,false,false,false,
5th Grade Prestige Liquor WSCC 3rd XI vs Nail Brewing - Bassendean CC 3rd XI,2025-11-29,2025-11-29,13:00,15:00,Two Day Round 6: Prestige Liquor WSCC 3rd XI vs Nail Brewing - Bassendean CC 3rd XI,Rosalie Park Turf (South Oval),Prestige Liquor WSCC 3rd XI,true,true,false,false,false,
7th Grade Ocean Ridge 3rd XI vs Canaccord Genuity WSCC 4th XI,2025-11-29,2025-11-29,13:00,15:00,Two Day Round 6: Ocean Ridge 3rd XI vs Canaccord Genuity WSCC 4th XI,Belridge Secondary College,Ocean Ridge 3rd XI,true,true,false,false,false,
One Day Grade 1 WSCC One Day 1's vs FMPCC Pirates 3rd XI,2025-11-29,2025-11-29,12:30,14:30,One Day Round 6: WSCC One Day 1's vs FMPCC Pirates 3rd XI,College Park Lower - Synthetic,WSCC One Day 1's,true,true,false,false,false,
One Day Grade 2 CVPCC Fourth XI vs Hola Health WSCC One Day 2's,2025-11-29,2025-11-29,12:30,14:30,One Day Round 6: CVPCC Fourth XI vs Hola Health WSCC One Day 2's,Fraser Park,CVPCC Fourth XI,true,true,false,false,false,
One Day Grade 3 WSCC One Day 3's vs Swanbourne CC 5th XI,2025-11-29,2025-11-29,12:30,14:30,One Day Round 6: WSCC One Day 3's vs Swanbourne CC 5th XI,David Cruikshank Reserve,WSCC One Day 3's,true,true,false,false,false,
