"Game Date","Game Type","Grade","Round","Game Status","Venue","Playing Surface","Time","Toss Winner","Elected To","Home Team","Home Team Score","Home Team Over Limit","Home Team Result","Home Team Players In Lineup","Home Team Player Points","Away Team","Away Team Score","Away Team Over Limit","Away Team Result","Away Team Players In Lineup","Away Team Player Points","Bye","Host Organisation","Competition","Competition Type","Season","Game Alias","Game Code","Game ID","Result Source","Result Timestamp (last updated)","Last Updated At","Last Updated By","Last Updated By Organisation"
"31/01/2026, 07/02/2026","Two Day","2nd Grade","Round 11","Upcoming","Ernest Johnson Oval","Ernest Johnson Oval","13:00",,,"SPSTCC 1st XI",,,,,,"Hola Health WSCC 1st XI",,,,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"fe534d","fe534d2b-c373-4027-8a96-f92a32942e69","","",,"",""
"31/01/2026, 07/02/2026","Two Day","4th Grade","Round 10","Upcoming","College Park","College Park West - Turf","13:00",,,"Kreative Property WSCC 2nd XI",,,,,,"Kalamunda 2nd XI",,,,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"a2e20f","a2e20ffa-7dc2-40c4-ba60-96c5c02662c0","","",,"",""
"31/01/2026, 07/02/2026","Two Day","5th Grade","Round 10","Upcoming","Shirley Strickland Reserve","Shirley Strickland - Main Oval","13:00",,,"Applecross 3rd XI",,,,,,"Prestige Liquor WSCC 3rd XI",,,,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"326e39","326e3909-8658-4f70-8653-1901ecfa1daf","","",,"",""
"31/01/2026, 07/02/2026","Two Day","7th Grade","Round 10","Upcoming","Rosalie Park","Rosalie Park Turf (South Oval)","13:00",,,"Canaccord Genuity WSCC 4th XI",,,,,,"LSR SMCC 4th XI",,,,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"26d280","26d280b2-1a6e-4b6a-b6f7-340536e11967","","",,"",""
"31/01/2026","One Day","One Day Grade 1","Round 12","Upcoming","College Park","College Park Lower - Synthetic","12:30",,,"WSCC One Day 1's",,"40",,,,"Bedford Morley 4th XI (OD1 Gold)",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"911337","9113374c-eab3-4be0-b52a-67793c5bd7f7","","",,"",""
"31/01/2026","One Day","One Day Grade 2","Round 12","Upcoming","Charles Riley Memorial Reserve","Charles Riley Memorial 1 - Lower","12:30",,,"NBCCC OD2 - 1 Solution Finance",,"40",,,,"Hola Health WSCC One Day 2's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"9d6cd7","9d6cd706-ed1c-4335-aa96-81a413c66604","","",,"",""
"31/01/2026","One Day","One Day Grade 3","Round 12","Upcoming","Bruce Lee Oval","Bruce Lee Oval","12:30",,,"FMPCC Pirates 6th XI",,"40",,,,"WSCC One Day 3's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"9c5240","9c52403d-8a25-4889-99f7-c7d4f3a88a5f","","",,"",""
"31/01/2026","One Day","One Day Grade 4","Round 12","Upcoming","David Cruikshank Reserve","David Cruikshank Reserve","12:30",,,"WSCC One Day 4's",,"40",,,,"CVPCC Fifth XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"9c79cc","9c79ccca-b257-48da-ad24-865ec124a014","","",,"",""
"31/01/2026","One Day","One Day Grade 5 Black","Round 12","Upcoming","Rosalie Park","Rosalie Park Synthetic (North Oval)","12:30",,,"WSCC One Day 5's",,"40",,,,"FMPCC Pirates 8th XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"5256b9","5256b905-c173-46f9-b0ed-af5787241107","","",,"",""
"07/02/2026","One Day","One Day Grade 1","Round 13","Upcoming","College Park","College Park Lower - Synthetic","12:30",,,"WSCC One Day 1's",,"40",,,,"Wembley Districts 4th XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"598586","598586b9-0cea-4bb6-8d21-d3c207b49343","","",,"",""
"07/02/2026","One Day","One Day Grade 2","Round 13","Upcoming","Waltham Reserve","Waltham Reserve (Turf)","12:30",,,"Bedford Morley 5th XI (OD2)",,"40",,,,"Hola Health WSCC One Day 2's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"6479ec","6479ecf8-fc25-4820-acea-90afa4a1ccd9","","",,"",""
"07/02/2026","One Day","One Day Grade 3","Round 13","Upcoming","David Cruikshank Reserve","David Cruikshank Reserve","12:30",,,"WSCC One Day 3's",,"40",,,,"LSR SMCC One Day Threes",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"b2ca93","b2ca9329-fb4c-4683-b83c-eaf49de430d5","","",,"",""
"07/02/2026","One Day","One Day Grade 4","Round 13","Upcoming","Centenary Park (Wilson)","Centenary Park South-East","12:30",,,"MJH Airconditioning Bentley 4th XI",,"40",,,,"WSCC One Day 4's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"13523d","13523d27-70c3-4769-9b17-727fabd7735b","","",,"",""
"07/02/2026","One Day","One Day Grade 5 Black","Round 13","Upcoming","Rosalie Park","Rosalie Park Synthetic (North Oval)","12:30",,,"WSCC One Day 5's",,"40",,,,"Bentley 5th XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"ca8dad","ca8dad84-f279-42b9-bc43-8b91edbd5bf5","","",,"",""
"14/02/2026, 21/02/2026","Two Day","2nd Grade","Round 12","Upcoming","RA Cook Reserve","RA Cook Reserve (Turf)","13:00",,,"Bedford Morley 1st XI",,,,,,"Hola Health WSCC 1st XI",,,,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"fc38a0","fc38a0b9-3ffd-4ba1-84c6-989cc4a7649f","","",,"",""
"14/02/2026, 21/02/2026","Two Day","4th Grade","Round 11","Upcoming","College Park","College Park West - Turf","13:00",,,"Kreative Property WSCC 2nd XI",,,,,,"Bedford Morley 2nd XI",,,,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"a7432a","a7432a62-e15a-4da3-a20f-7c314dd79a1e","","",,"",""
"14/02/2026, 21/02/2026","Two Day","5th Grade","Round 11","Upcoming","Des Penman Memorial Reserve","Des Penman Memorial (Turf)","13:00",,,"Balcatta Cats 3rd XI",,,,,,"Prestige Liquor WSCC 3rd XI",,,,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"194780","19478051-5b19-4416-84f7-65635cce24a3","","",,"",""
"14/02/2026, 21/02/2026","Two Day","7th Grade","Round 11","Upcoming","Rosalie Park","Rosalie Park Turf (South Oval)","13:00",,,"Canaccord Genuity WSCC 4th XI",,,,,,"FMPCC Pirates 5th XI",,,,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"d9f645","d9f645b8-b563-4acb-afab-2c9a71445108","","",,"",""
"14/02/2026","One Day","One Day Grade 1","Round 14","Upcoming","College Park","College Park Lower - Synthetic","12:30",,,"WSCC One Day 1's",,"40",,,,"Granex Trade Whitfords 4th XI - ODC 1",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"b6b851","b6b8515d-ae1b-4936-9b53-53d05b45f1ac","","",,"",""
"14/02/2026","One Day","One Day Grade 2","Round 14","Upcoming","Baskerville Oval","Baskerville Oval","12:30",,,"Swan Valley 3rd XI OD2",,"40",,,,"Hola Health WSCC One Day 2's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"7a7da5","7a7da5b4-d6d4-4455-bd5b-431ce65eeca5","","",,"",""
"14/02/2026","One Day","One Day Grade 3","Round 14","Upcoming","Rosalie Park","Rosalie Park Synthetic (North Oval)","12:30",,,"WSCC One Day 3's",,"40",,,,"High Wycombe 5th XI (OD3)",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"7e7ad1","7e7ad1bd-691c-47ef-9c8a-e293f9e48901","","",,"",""
"14/02/2026","One Day","One Day Grade 4","Round 14","Upcoming","David Cruikshank Reserve","David Cruikshank Reserve","12:30",,,"WSCC One Day 4's",,"40",,,,"NBCCC OD4 - Nice n Fresh",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"3b346c","3b346c77-c616-47fb-b0a9-9573a8d02504","","",,"",""
"14/02/2026","One Day","One Day Grade 5 Black","Round 14","Upcoming","McLean Park","McLean park","12:30",,,"Wembley Districts 5th XI",,"40",,,,"WSCC One Day 5's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"be8eba","be8eba60-c860-4947-8900-2e374b88bbdc","","",,"",""
"21/02/2026","One Day","One Day Grade 1","Round 15","Upcoming","Carine Open Space","Carine Open Space","12:30",,,"NBCCC OD1 - Patties",,"40",,,,"WSCC One Day 1's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"619b03","619b0342-86fc-42fe-acfa-e32424412f6e","","",,"",""
"21/02/2026","One Day","One Day Grade 2","Round 15","Upcoming","College Park","College Park Lower - Synthetic","12:30",,,"Hola Health WSCC One Day 2's",,"40",,,,"Swanbourne CC 4th XI - OD2",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"74355a","74355ad4-57a6-4b68-94e4-c53b57593804","","",,"",""
"21/02/2026","One Day","One Day Grade 3","Round 15","Upcoming","David Cruikshank Reserve","David Cruikshank Reserve","12:30",,,"WSCC One Day 3's",,"40",,,,"North Perth 3rd XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"f0f52e","f0f52ec5-9e6d-4ddd-896b-b855288af9ed","","",,"",""
"21/02/2026","One Day","One Day Grade 4","Round 15","Upcoming","Ashfield Reserve","Ashfield Reserve","12:30",,,"Ross Realty - Bassendean CC 6th XI",,"40",,,,"WSCC One Day 4's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"26e8e3","26e8e304-ba4c-414f-b69d-60879e4ee518","","",,"",""
"21/02/2026","One Day","One Day Grade 5 Black","Round 15","Upcoming","Charles Veryard Reserve","Charles Veryard - East","12:30",,,"North Perth 4th XI",,"40",,,,"WSCC One Day 5's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"969de5","969de52f-c482-40de-a248-a8498c89bb2d","","",,"",""
"28/02/2026, 07/03/2026","Two Day","2nd Grade","Round 13","Upcoming","College Park","College Park West - Turf","13:00",,,"Hola Health WSCC 1st XI",,,,,,"Bentley 1st XI",,,,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"d30248","d302486f-38f1-426a-88ea-7c1cb82605c2","","",,"",""
"28/02/2026, 07/03/2026","Two Day","4th Grade","Round 12","Upcoming","Wyong Park","Wyong park","13:00",,,"Bentley 2nd XI",,,,,,"Kreative Property WSCC 2nd XI",,,,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"b98d1a","b98d1a72-69c4-484e-b044-23731a02696d","","",,"",""
"28/02/2026, 07/03/2026","Two Day","5th Grade","Round 12","Upcoming","Rosalie Park","Rosalie Park Turf (South Oval)","13:00",,,"Prestige Liquor WSCC 3rd XI",,,,,,"High Wycombe 3rd XI",,,,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"cad323","cad3239d-ff18-4104-8e44-0b0a77dfcf3a","","",,"",""
"28/02/2026, 07/03/2026","Two Day","7th Grade","Round 12","Upcoming","James Miller Oval","James Miller Oval","13:00",,,"SPSTCC 3rd XI",,,,,,"Canaccord Genuity WSCC 4th XI",,,,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"154ae6","154ae69c-8216-40b7-a015-909934bb2984","","",,"",""
"28/02/2026","One Day","One Day Grade 1","Round 16","Upcoming","Waltham Reserve","Waltham Reserve (Turf)","12:30",,,"Bedford Morley 3rd XI (OD1 Blue)",,"40",,,,"WSCC One Day 1's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"35f24e","35f24eb7-95a9-4cd0-b38a-2851e1acf7f5","","",,"",""
"28/02/2026","One Day","One Day Grade 2","Round 16","Upcoming","College Park","College Park Lower - Synthetic","12:30",,,"Hola Health WSCC One Day 2's",,"40",,,,"Kalamunda 3rd XI - OD2",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"7e8aee","7e8aee70-6b27-4a48-9fb1-ed8505d057fd","","",,"",""
"28/02/2026","One Day","One Day Grade 3","Round 16","Upcoming","Charles Riley Memorial Reserve","Charles Riley Memorial 1 - Lower","12:30",,,"NBCCC OD3",,"40",,,,"WSCC One Day 3's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"a41dad","a41dad9d-e97a-4b34-967d-98eb0cd3f85d","","",,"",""
"28/02/2026","One Day","One Day Grade 4","Round 16","Upcoming","David Cruikshank Reserve","David Cruikshank Reserve","12:30",,,"WSCC One Day 4's",,"40",,,,"FMPCC Pirates 7th XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"49e021","49e0210e-eb90-4aa6-a3b4-ca958b65f284","","",,"",""
"28/02/2026","One Day","One Day Grade 5 Black","Round 16","Upcoming","Tompkins Park","Tompkins South East","12:30",,,"MUMCC 6th XI",,"40",,,,"WSCC One Day 5's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"89c3b5","89c3b591-350c-44f2-a798-e35f31519f20","","",,"",""
"07/03/2026","One Day","One Day Grade 1","Round 17","Upcoming","College Park","College Park Lower - Synthetic","12:30",,,"WSCC One Day 1's",,"40",,,,"FMPCC Pirates 3rd XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"a4cc21","a4cc2163-ea97-449c-8f1d-3b71b10f4181","","",,"",""
"07/03/2026","One Day","One Day Grade 2","Round 17","Upcoming","Scott Reserve","Scott Reserve 2 (Synthetic)","12:30",,,"High Wycombe 4th XI (OD2)",,"40",,,,"Hola Health WSCC One Day 2's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"cfc855","cfc85589-cbe6-451b-aaa1-d4a9b4ae970f","","",,"",""
"07/03/2026","One Day","One Day Grade 3","Round 17","Upcoming","Challenger Reserve","Challenger Reserve","12:30",,,"SPSTCC 5th XI",,"40",,,,"WSCC One Day 3's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"d726db","d726db64-a148-4a4f-a341-13863673395d","","",,"",""
"07/03/2026","One Day","One Day Grade 4","Round 17","Upcoming","David Cruikshank Reserve","David Cruikshank Reserve","12:30",,,"WSCC One Day 4's",,"40",,,,"Applecross 6th XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"e3e3e9","e3e3e9f4-7f8a-48d4-a98f-010ee0d6ccb3","","",,"",""
"07/03/2026","One Day","One Day Grade 5 Black","Round 17","Upcoming","Rosalie Park","Rosalie Park Synthetic (North Oval)","12:30",,,"WSCC One Day 5's",,"40",,,,"LSR SMCC 5th XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"276e2d","276e2d47-6c74-444d-9c08-e0917110b615","","",,"",""
"14/03/2026","One Day","2nd Grade","Round 14","Upcoming","College Park","College Park West - Turf","12:30",,,"Hola Health WSCC 1st XI",,"40",,,,"FMPCC Pirates 1st XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"c57f95","c57f95d4-ca06-4a07-a022-2ea5a8edcb13","","",,"",""
"14/03/2026","One Day","4th Grade","Round 13","Upcoming","Gil Fraser Reserve","Gil Fraser - Turf","12:30",,,"FMPCC Pirates 2nd XI",,"40",,,,"Kreative Property WSCC 2nd XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"69a994","69a9943a-58f1-4ead-bf0b-0e5f2eaf72bc","","",,"",""
"14/03/2026","One Day","5th Grade","Round 13","Upcoming","Rosalie Park","Rosalie Park Turf (South Oval)","12:30",,,"Prestige Liquor WSCC 3rd XI",,"40",,,,"NBCCC 3rd XI - Knight Financial Advisors",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"104bda","104bda1c-f0d9-4106-b649-358709814936","","",,"",""
"14/03/2026","One Day","7th Grade","Round 13","Upcoming","Winthrop Park","Winthrop Park","12:30",,,"Applecross 5th XI",,"40",,,,"Canaccord Genuity WSCC 4th XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"efc986","efc98633-3da3-4c58-97a6-1a35b493ee19","","",,"",""
"14/03/2026","One Day","One Day Grade 1","Round 18","Upcoming","Luketina","A.S Luketina Reserve","12:30",,,"LSR SMCC One Day Ones",,"40",,,,"WSCC One Day 1's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"3f9948","3f994849-86fc-4bd8-b4fb-c2666ef8db8e","","",,"",""
"14/03/2026","One Day","One Day Grade 2","Round 18","Upcoming","College Park","College Park Lower - Synthetic","12:30",,,"Hola Health WSCC One Day 2's",,"40",,,,"Applecross 7th XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"139910","13991071-6e9e-4ab0-9022-f6d13562d728","","",,"",""
"14/03/2026","One Day","One Day Grade 3","Round 18","Upcoming","Rosalie Park","Rosalie Park Synthetic (North Oval)","12:30",,,"WSCC One Day 3's",,"40",,,,"MUMCC 4th XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"1f8eb7","1f8eb7fc-a870-467e-8128-6106428db47d","","",,"",""
"14/03/2026","One Day","One Day Grade 4","Round 18","Upcoming","David Cruikshank Reserve","David Cruikshank Reserve","12:30",,,"WSCC One Day 4's",,"40",,,,"Balcatta Cats 5th XI",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"b52c12","b52c1283-2e98-4438-85f0-433f94916ba1","","",,"",""
"14/03/2026","One Day","One Day Grade 5 Black","Round 18","Upcoming","Fremantle Park","Fremantle Park North","12:30",,,"Applecross 8th XI",,"40",,,,"WSCC One Day 5's",,"40",,,,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"0b39b9","0b39b97c-4e6c-4cd4-8d96-edc1a64c10f1","","",,"",""
