"Game Date","Game Type","Grade","Round","Game Status","Venue","Playing Surface","Time","Toss Winner","Elected To","Home Team","Home Team Score","Home Team Over Limit","Home Team Result","Home Team Players In Lineup","Home Team Player Points","Away Team","Away Team Score","Away Team Over Limit","Away Team Result","Away Team Players In Lineup","Away Team Player Points","Bye","Host Organisation","Competition","Competition Type","Season","Game Alias","Game Code","Game ID","Result Source","Result Timestamp (last updated)","Last Updated At","Last Updated By","Last Updated By Organisation"
"25/10/2025","One Day","One Day Grade 3","Round 2","Final","David Cruikshank Reserve","David Cruikshank Reserve","12:00","FMPCC Pirates 6th XI","Bowl","WSCC One Day 3's","2/267 (40)","40","Won","11",,"FMPCC Pirates 6th XI","9/118 (33.5)","40","Lost","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"94ea8a","94ea8adf-0868-4d44-bf2d-4ba9d45b5b0e","E-scoring","25/10/2025 17:49 (Australia/Perth)","25/10/2025 17:49 (Australia/Perth)",,""
"25/10/2025","One Day","One Day Grade 4","Round 2","Final","Charles Court Reserve","Charles Court Reserve","12:00","Swan Athletic OD4","Bat","WSCC One Day 4's","8/158 (25.5)","40","Won","11",,"Swan Athletic OD4","10/155 (31.1)","40","Lost","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"ed8c5a","ed8c5a44-7577-462b-b9f8-adc775afc3ed","E-scoring","25/10/2025 16:18 (Australia/Perth)","25/10/2025 18:22 (Australia/Perth)","Andrew Miller","Western Suburbs Cricket Club"
"25/10/2025","One Day","One Day Grade 5 Black","Round 2","Final","Woodlands Reserve","Woodlands Reserve","12:00","LSR SMCC 5th XI","Bowl","LSR SMCC 5th XI","9/162 (35.1)","40","Won","12",,"WSCC One Day 5's","10/159 (39.4)","40","Lost","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"6fb79b","6fb79ba0-26b8-4061-bf52-7fd94b00c0f3","E-scoring","25/10/2025 17:31 (Australia/Perth)","27/10/2025 11:39 (Australia/Perth)",,""
"01/11/2025","One Day","4th Grade","Round 4","Final","College Park","College Park West - Turf","12:30","Kreative Property WSCC 2nd XI","Bat","Kreative Property WSCC 2nd XI","10/185 (34.1)","40","Won","11",,"Granex Trade Whitfords 2nd XI","10/157 (37.2)","40","Lost","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"5ddaa3","5ddaa31e-81b7-4293-97c0-571c4fc65531","E-scoring","01/11/2025 19:45 (Australia/Perth)","01/11/2025 19:45 (Australia/Perth)",,""
"01/11/2025","One Day","5th Grade","Round 4","Final","Tompkins Park","Tompkins South West","12:30","MUMCC 3rd XI","Bat","MUMCC 3rd XI","8/233 (40)","40","Lost","11",,"Prestige Liquor WSCC 3rd XI","6/234 (34.5)","40","Won","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"526a83","526a8307-0f8b-43c2-a34b-5c0dc8832827","Manual","03/11/2025 11:52 (Australia/Perth)","03/11/2025 13:57 (Australia/Perth)","Steven Rule","Murdoch University Melville Cricket Club"
"01/11/2025","One Day","7th Grade","Round 4","Final","Rosalie Park","Rosalie Park Turf (South Oval)","12:30","Canaccord Genuity WSCC 4th XI","Bat","Canaccord Genuity WSCC 4th XI","4/184 (40)","40","Won","11",,"Grill'd Midland - Bassendean CC 4th XI","10/150 (35.3)","40","Lost","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"6b7838","6b7838bd-3654-4a9f-b0a7-074297e637a1","E-scoring","01/11/2025 18:20 (Australia/Perth)","03/11/2025 18:18 (Australia/Perth)","Bradley Forbes","Western Suburbs Cricket Club"
"01/11/2025","One Day","One Day Grade 1","Round 3","Final","College Park","College Park Lower - Synthetic","12:30","LSR SMCC One Day Ones","Bat","WSCC One Day 1's","6/268 (40)","40","Lost","12",,"LSR SMCC One Day Ones","6/285 (40)","40","Won","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"1c261d","1c261d94-bb9a-4e3b-8362-26c3e76be72d","E-scoring","01/11/2025 18:34 (Australia/Perth)","02/11/2025 17:35 (Australia/Perth)",,""
"01/11/2025","One Day","One Day Grade 2","Round 3","Final","Mount Claremont Oval","Mount Claremont Oval","12:30","Hola Health WSCC One Day 2's","Bat","Swanbourne CC 4th XI - OD2","10/138 (30.5)","40","Lost","11",,"Hola Health WSCC One Day 2's","10/239 (36.5)","40","Won","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"75b780","75b7804b-0741-482d-9bb9-ac52e8fa976b","Manual","01/11/2025 19:20 (Australia/Perth)","02/11/2025 07:46 (Australia/Perth)","Dipen Sankhesara","Western Suburbs Cricket Club"
"01/11/2025","One Day","One Day Grade 3","Round 3","Final","Scott Reserve","Scott Reserve 3 (Synthetic)","12:30","WSCC One Day 3's","Bowl","High Wycombe 5th XI (OD3)","8/203 (40)","40","Won","11",,"WSCC One Day 3's","9/160 (36.1)","40","Lost","11",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"38d78b","38d78b51-f362-4ee7-85a4-8c6b116d28a5","E-scoring","01/11/2025 18:16 (Australia/Perth)","01/11/2025 20:50 (Australia/Perth)","Trent Wood","High Wycombe Cricket Club"
"01/11/2025","One Day","One Day Grade 4","Round 3","Final","Tom Perrott Reserve","Tom Perrott Reserve","12:30","WSCC One Day 4's","Bat","FMPCC Pirates 7th XI","8/168 (24.2)","30","Won","12",,"WSCC One Day 4's","10/167 (25.4)","30","Lost","12",,,"West Australian Suburban Turf Cricket Assoc.","WASTCA Seniors","Home and away","Summer 2025/26",,"60ee13","60ee13b1-569e-4685-8736-2796f89becc1","E-scoring","01/11/2025 16:27 (Australia/Perth)","01/11/2025 17:58 (Australia/Perth)","Andrew Miller","Western Suburbs Cricket Club"
